Designator,Mid X,Mid Y,Rotation,Layer
B100,189.5269,-115.7145,270.0,top
C100,156.6,-117.4,90.0,top
C101,155.0,-117.4,90.0,top
C102,153.4,-117.4,90.0,top
C103,162.4502,-112.9,270.0,top
C104,159.8,-123.2,0.0,top
C105,176.0,-124.8,270.0,top
C106,173.6,-124.8,270.0,top
C107,171.2,-124.8,270.0,top
C108,168.8,-124.8,270.0,top
C109,166.4,-124.8,270.0,top
C110,164.94,-103.0,270.0,top
C111,167.48,-103.0,270.0,top
C112,172.6,-103.0,270.0,top
C113,170.02,-103.0,270.0,top
C114,140.8,-73.8,180.0,top
C115,157.3,-103.0,270.0,top
C116,160.8,-74.0,90.0,top
C117,167.0875,-70.0,0.0,top
C118,155.6,-71.4,270.0,top
C119,155.6,-67.0,270.0,top
C120,116.65,-102.2,90.0,top
C121,195.9625,-72.450001,0.0,top
D100,128.0,-94.62,0.0,top
D101,128.0,-88.62,0.0,top
D102,128.0,-91.62,0.0,top
D103,117.0,-113.25,0.0,top
D104,178.8,-71.7,90.0,top
D105,175.7,-59.7,0.0,top
D106,147.0,-61.8,0.0,top
D107,134.6,-61.8,180.0,top
D108,175.7,-56.2,0.0,top
D109,183.4,-71.6,90.0,top
D110,140.2,-123.8,270.0,top
D111,147.2,-123.8,270.0,top
D112,143.7,-123.8,270.0,top
D113,136.7,-123.8,270.0,top
D115,150.7,-123.8,270.0,top
F100,114.75,-108.25,0.0,top
J100,105.625,-91.275,0.0,top
L100,170.9301,-113.6,180.0,top
Q100,166.21,-91.62,180.0,top
R100,137.8,-91.6,180.0,top
R101,137.8,-88.6,180.0,top
R102,137.8,-94.6,180.0,top
R103,162.5498,-122.1,270.0,top
R104,160.9,-126.0,270.0,top
R105,158.7,-126.0,270.0,top
R106,159.8,-121.2,180.0,top
R107,135.6,-71.3875,270.0,top
R108,147.4,-71.3875,270.0,top
R109,134.0,-71.3875,270.0,top
R110,145.8,-71.3875,270.0,top
R111,136.6,-66.4875,270.0,top
R112,140.8,-61.8,180.0,top
R113,181.8875,-80.0,90.0,top
R114,180.2,-80.0,270.0,top
R115,177.6,-80.0,90.0,top
R116,175.8,-80.0,270.0,top
R117,131.2,-121.5,270.0,top
R118,129.6,-121.5,90.0,top
R119,116.6,-121.4875,270.0,top
R121,116.6,-126.2375,270.0,top
R127,119.5,-108.3,0.0,top
R128,157.8,-62.7,90.0,top
R129,159.4,-62.7,90.0,top
R130,167.0875,-68.4,0.0,top
R131,167.0875,-66.8,0.0,top
R132,162.6,-62.6875,90.0,top
R133,161.0,-62.6875,90.0,top
R134,167.0875,-71.6,0.0,top
R135,162.4,-74.0,270.0,top
R140,131.2,-126.2,90.0,top
R141,129.6,-126.1875,90.0,top
U100,161.000199,-117.369999,90.0,top
U101,119.25,-102.2,270.0,top
U102,161.2,-68.2,90.0,top
U103,140.8,-68.0,90.0,top
U104,195.864645,-75.450001,0.0,top
Y100,153.6,-69.2,90.0,top
